pullup-pesocorporal | Dominada | back | peso_corporal | compound
parralel-bar-dips-pesocorporal | Fondos en barras paralelas | fullbody | peso_corporal | compound
medicine-ball-slam-balon | Golpe con balón medicinal | fullbody | otro | compound
three-step-heismans-cardio | Heismans de tres pasos | fullbody | cardio | compound
stability-ball-hyperextension-pesocorporal | Hiperextensión en pelota de estabilidad | fullbody | peso_corporal | isolation
reverse-hyperextension-maquina | Hiperextensión inversa | fullbody | maquina | isolation
pull-down-maquina | Jalón | fullbody | maquina | compound
karaoke-cardio | Karaoke lateral | fullbody | cardio | compound
hanging-l-sit-pesocorporal | L-sit colgado | fullbody | peso_corporal | compound
woodchopper-polea | Leñador (Cable) | fullbody | cable | compound
woodchopper-disco | Leñador (Disco) | fullbody | disco | compound
windshield-wiper-pesocorporal | Limpiaparabrisas | fullbody | peso_corporal | compound
farmers-march-pesarusa | Marcha del granjero | fullbody | pesa_rusa | compound
walking-farmers-march-pesarusa | Marcha del granjero caminando | fullbody | pesa_rusa | compound
windmill-pesarusa | Molino | fullbody | pesa_rusa | compound
windmill-bottom-hand-pesarusa | Molino con mano baja | fullbody | pesa_rusa | compound
deadlift-barra | Peso muerto (Barra) | fullbody | barra | compound
deadlift-disco | Peso muerto (Disco) | fullbody | disco | compound
single-leg-deadlift-barra | Peso muerto a una pierna (Barra) | fullbody | barra | compound
single-leg-deadlift-disco | Peso muerto a una pierna (Disco) | fullbody | disco | compound
single-leg-deadlift-mancuerna | Peso muerto a una pierna (Mancuerna) | fullbody | mancuerna | compound
single-leg-deadlift-pesarusa | Peso muerto a una pierna (Pesa rusa) | fullbody | pesa_rusa | compound
coan-deadlift-barra | Peso muerto Coan | fullbody | barra | compound
snatch-grip-deadlift-barra | Peso muerto con agarre de arranque | fullbody | barra | compound
pinch-grip-deadlift-disco | Peso muerto con agarre de pinza | fullbody | disco | compound
banded-deadlift-barra | Peso muerto con banda | fullbody | barra | compound
conventional-deadlift-pesarusa | Peso muerto convencional | fullbody | pesa_rusa | compound
conventional-pause-deadlift-barra | Peso muerto convencional con pausa | fullbody | barra | compound
block-conventional-deadlift-barra | Peso muerto convencional desde bloques | fullbody | barra | compound
elevated-deadlift-polea | Peso muerto elevado | fullbody | cable | compound
reverse-deadlift-barra | Peso muerto inverso | fullbody | barra | compound
sumo-deadlift-barra | Peso muerto sumo (Barra) | fullbody | barra | compound
sumo-deadlift-pesarusa | Peso muerto sumo (Pesa rusa) | fullbody | pesa_rusa | compound
landmine-sumo-deadlift-barra | Peso muerto sumo con landmine | fullbody | barra | compound
sumo-pause-deadlift-barra | Peso muerto sumo con pausa | fullbody | barra | compound
suitcase-deadlift-barra | Peso muerto tipo maletín | fullbody | barra | compound
pike-trx | Pike | fullbody | trx | compound
stability-ball-pike-pesocorporal | Pike en pelota de estabilidad | fullbody | peso_corporal | compound
push-press-mancuerna | Push press (Mancuerna) | fullbody | mancuerna | compound
push-press-pesarusa | Push press (Pesa rusa) | fullbody | pesa_rusa | compound
waiters-bow-disco | Reverencia del mozo (Disco) | fullbody | disco | compound
waiters-bow-mancuerna | Reverencia del mozo (Mancuerna) | fullbody | mancuerna | compound
waiters-bow-pesarusa | Reverencia del mozo (Pesa rusa) | fullbody | pesa_rusa | compound
waiters-bow-pesocorporal | Reverencia del mozo (Peso corporal) | fullbody | peso_corporal | compound
decline-skull-crusher-pesarusa | Rompe-cráneos en declinado | fullbody | pesa_rusa | compound
thoracic-spine-rotation-pesocorporal | Rotación de columna torácica | fullbody | peso_corporal | compound
shoulder-external-rotation-mancuerna | Rotación externa de hombro | fullbody | mancuerna | compound
external-rotation-polea | Rotación externa de hombro (Cable) | fullbody | cable | compound
external-rotation-mancuerna | Rotación externa de hombro (Mancuerna) | fullbody | mancuerna | compound
internal-rotation-polea | Rotación interna de hombro (Cable) | fullbody | cable | compound
internal-rotation-mancuerna | Rotación interna de hombro (Mancuerna) | fullbody | mancuerna | compound
box-jump-pesocorporal | Salto al cajón | fullbody | peso_corporal | compound
seated-box-jump-pesocorporal | Salto al cajón desde sentado | fullbody | peso_corporal | compound
jump-rope-cardio | Salto con soga | fullbody | cardio | compound
diamond-hop-cardio | Salto en diamante | fullbody | cardio | compound
depth-jump-pesocorporal | Salto en profundidad | fullbody | peso_corporal | compound
skater-cardio | Salto lateral tipo patinador | fullbody | cardio | compound
pull-apart-banda | Separación de banda | fullbody | banda | compound
ski-erg-cardio | Ski erg | fullbody | cardio | compound
skull-crusher-pesarusa | Skull crusher | fullbody | pesa_rusa | compound
incline-skullover-mancuerna | Skullover en banco inclinado | fullbody | mancuerna | compound
high-incline-skullover-mancuerna | Skullover en banco muy inclinado | fullbody | mancuerna | compound
shuttle-sprint-cardio | Sprint de lanzadera | fullbody | cardio | compound
treadmill-sprint-cardio | Sprint en cinta | fullbody | cardio | compound
figure-eight-sprint-cardio | Sprint en ocho | fullbody | cardio | compound
swing-mancuerna | Swing | fullbody | mancuerna | compound
single-arm-swing-pesarusa | Swing a un brazo | fullbody | pesa_rusa | compound
alternating-swing-pesarusa | Swing alternado | fullbody | pesa_rusa | compound
full-swing-pesarusa | Swing completo | fullbody | pesa_rusa | compound
double-swing-pesarusa | Swing doble | fullbody | pesa_rusa | compound
butt-kick-cardio | Talón al glúteo | fullbody | cardio | compound
thruster-barra | Thruster (Barra) | fullbody | barra | compound
thruster-mancuerna | Thruster (Mancuerna) | fullbody | mancuerna | compound
thruster-pesarusa | Thruster (Pesa rusa) | fullbody | pesa_rusa | compound
single-arm-thruster-mancuerna | Thruster a un brazo (Mancuerna) | fullbody | mancuerna | compound
single-arm-thruster-pesarusa | Thruster a un brazo (Pesa rusa) | fullbody | pesa_rusa | compound
landmine-thruster-barra | Thruster con landmine | fullbody | barra | compound
high-pull-barra | Tirón alto | fullbody | barra | compound
rack-pull-barra | Tirón desde rack | fullbody | barra | compound
pull-through-polea | Tirón entre las piernas | fullbody | cable | compound
pullthrough-banda | Tirón entre las piernas con banda | fullbody | banda | compound
toe-tap-cardio | Toque de punta | fullbody | cardio | compound
knee-taps-cardio | Toque de rodillas | fullbody | cardio | compound
treadmill-jog-cardio | Trote en cinta | fullbody | cardio | compound
hip-abduction-banda | Abducción de cadera (Banda) | glutes | banda | isolation
hip-abduction-polea | Abducción de cadera (Cable) | glutes | cable | isolation
hip-abduction-disco | Abducción de cadera (Disco) | glutes | disco | isolation
hip-abduction-maquina | Abducción de cadera (Máquina) | glutes | maquina | isolation
hip-abduction-pesocorporal | Abducción de cadera (Peso corporal) | glutes | peso_corporal | isolation
standing-hip-abduction-mancuerna | Abducción de cadera de pie | glutes | mancuerna | isolation
quadruped-hip-abduction-polea | Abducción de cadera en cuadrupedia | glutes | cable | isolation
hip-adduction-banda | Aducción de cadera (Banda) | glutes | banda | isolation
hip-adduction-maquina | Aducción de cadera (Máquina) | glutes | maquina | isolation
standing-hip-adduction-polea | Aducción de cadera de pie | glutes | cable | isolation
mini-band-clamshell-banda | Apertura de almeja con mini band | glutes | banda | compound
glute-ham-raise-maquina | Elevación de glúteos e isquiotibiales | glutes | maquina | isolation
hip-thrust-barra | Hip thrust (Barra) | glutes | barra | compound
hip-thrust-mancuerna | Hip thrust (Mancuerna) | glutes | mancuerna | compound
hip-thrust-maquina | Hip thrust (Máquina) | glutes | maquina | compound
hip-thrust-multipower | Hip thrust (Multipower) | glutes | multipower | compound
hip-thrust-pesarusa | Hip thrust (Pesa rusa) | glutes | pesa_rusa | compound
glute-kickback-banda | Patada de glúteos (Banda) | glutes | banda | isolation
glute-kickback-polea | Patada de glúteos (Cable) | glutes | cable | isolation
glute-kickback-maquina | Patada de glúteos (Máquina) | glutes | maquina | isolation
glute-kickback-multipower | Patada de glúteos (Multipower) | glutes | multipower | isolation
standing-kickback-polea | Patada de glúteos de pie | glutes | cable | isolation
standing-mid-kickback-polea | Patada de glúteos media de pie | glutes | cable | isolation
kickbacks-pesocorporal | Patadas de glúteos | glutes | peso_corporal | isolation
glute-bridge-barra | Puente de glúteos (Barra) | glutes | barra | compound
glute-bridge-mancuerna | Puente de glúteos (Mancuerna) | glutes | mancuerna | compound
glute-bridge-pesarusa | Puente de glúteos (Pesa rusa) | glutes | pesa_rusa | compound
glute-bridge-pesocorporal | Puente de glúteos (Peso corporal) | glutes | peso_corporal | compound
glute-bridge-trx | Puente de glúteos (TRX) | glutes | trx | compound
glute-bridge-pullover-disco | Puente de glúteos con pullover | glutes | disco | compound
good-mornings-pesocorporal | Buenos días | hamstrings | peso_corporal | compound
good-morning-banda | Buenos días (Banda) | hamstrings | banda | compound
good-morning-anterior-disco | Buenos días anterior | hamstrings | disco | compound
standing-good-morning-banda | Buenos días de pie | hamstrings | banda | compound
goblet-good-morning-mancuerna | Buenos días goblet (Mancuerna) | hamstrings | mancuerna | compound
goblet-good-morning-pesarusa | Buenos días goblet (Pesa rusa) | hamstrings | pesa_rusa | compound
zercher-good-morning-barra | Buenos días Zercher (Barra) | hamstrings | barra | compound
zercher-good-morning-polea | Buenos días Zercher (Cable) | hamstrings | cable | compound
hamstring-curl-polea | Curl de isquiotibiales (Cable) | hamstrings | cable | isolation
hamstring-curl-maquina | Curl de isquiotibiales (Máquina) | hamstrings | maquina | isolation
hamstring-curl-trx | Curl de isquiotibiales (TRX) | hamstrings | trx | isolation
leg-curl-banda | Curl femoral (Banda) | hamstrings | banda | isolation
leg-curl-mancuerna | Curl femoral (Mancuerna) | hamstrings | mancuerna | isolation
standing-hamstring-curl-maquina | Curl femoral de pie | hamstrings | maquina | isolation
seated-hamstring-curl-maquina | Curl femoral sentado | hamstrings | maquina | isolation
seated-leg-curl-polea | Curl femoral sentado (Cable) | hamstrings | cable | isolation
seated-leg-curl-maquina | Curl femoral sentado (Máquina) | hamstrings | maquina | isolation
nordic-hamstring-curl-pesocorporal | Curl nórdico | hamstrings | peso_corporal | isolation
romanian-deadlift-banda | Peso muerto rumano (Banda) | hamstrings | banda | compound
romanian-deadlift-barra | Peso muerto rumano (Barra) | hamstrings | barra | compound
romanian-deadlift-polea | Peso muerto rumano (Cable) | hamstrings | cable | compound
romanian-deadlift-mancuerna | Peso muerto rumano (Mancuerna) | hamstrings | mancuerna | compound
romanian-deadlift-multipower | Peso muerto rumano (Multipower) | hamstrings | multipower | compound
romanian-deadlift-pesarusa | Peso muerto rumano (Pesa rusa) | hamstrings | pesa_rusa | compound
romanian-deadlift-single-pesarusa | Peso muerto rumano a una pierna | hamstrings | pesa_rusa | compound
banded-romanian-deadlift-barra | Peso muerto rumano con banda | hamstrings | barra | compound
landmine-romanian-deadlift-barra | Peso muerto rumano con landmine | hamstrings | barra | compound
stiff-leg-deadlift-barra | Peso muerto stiff | hamstrings | barra | compound
sumo-romanian-deadlift-multipower | Peso muerto sumo rumano | hamstrings | multipower | compound
squat-hold-reach-disco | Alcance en sentadilla isométrica | quads | disco | compound
squat-hold-curl-disco | Curl en sentadilla isométrica | quads | disco | compound
forward-lunge-barra | Estocada al frente (Barra) | quads | barra | compound
forward-lunge-disco | Estocada al frente (Disco) | quads | disco | compound
forward-lunge-mancuerna | Estocada al frente (Mancuerna) | quads | mancuerna | compound
forward-lunge-pesarusa | Estocada al frente (Pesa rusa) | quads | pesa_rusa | compound
forward-lunge-pesocorporal | Estocada al frente (Peso corporal) | quads | peso_corporal | compound
alternating-forward-lunge-mancuerna | Estocada al frente alternada (Mancuerna) | quads | mancuerna | compound
alternating-forward-lunge-pesarusa | Estocada al frente alternada (Pesa rusa) | quads | pesa_rusa | compound
goblet-forward-lunge-mancuerna | Estocada al frente goblet | quads | mancuerna | compound
recovery-lunge-alternate-pesocorporal | Estocada alternada de recuperación | quads | peso_corporal | compound
overhead-walking-lunge-disco | Estocada caminando con peso sobre la cabeza | quads | disco | compound
recovery-lunge-walking-pesocorporal | Estocada caminando de recuperación | quads | peso_corporal | compound
swing-lunge-mancuerna | Estocada con balanceo (Mancuerna) | quads | mancuerna | compound
swing-lunge-pesarusa | Estocada con balanceo (Pesa rusa) | quads | pesa_rusa | compound
swing-lunge-pesocorporal | Estocada con balanceo (Peso corporal) | quads | peso_corporal | compound
swingthrough-lunge-pesocorporal | Estocada con balanceo continuo | quads | peso_corporal | compound
landmine-lunge-barra | Estocada con landmine | quads | barra | compound
alternating-jump-lunge-pesocorporal | Estocada con salto alternada | quads | peso_corporal | compound
curtsy-lunge-barra | Estocada cruzada (Barra) | quads | barra | compound
curtsy-lunge-disco | Estocada cruzada (Disco) | quads | disco | compound
curtsy-lunge-pesocorporal | Estocada cruzada (Peso corporal) | quads | peso_corporal | compound
curtsy-lunge-trx | Estocada cruzada (TRX) | quads | trx | compound
alternating-curtsy-lunge-pesarusa | Estocada cruzada alternada (Pesa rusa) | quads | pesa_rusa | compound
alternating-curtsy-lunge-pesocorporal | Estocada cruzada alternada (Peso corporal) | quads | peso_corporal | compound
landmine-curtsy-lunge-barra | Estocada cruzada con landmine | quads | barra | compound
goblet-curtsy-lunge-mancuerna | Estocada cruzada goblet | quads | mancuerna | compound
reverse-lunge-barra | Estocada inversa (Barra) | quads | barra | compound
reverse-lunge-disco | Estocada inversa (Disco) | quads | disco | compound
reverse-lunge-mancuerna | Estocada inversa (Mancuerna) | quads | mancuerna | compound
reverse-lunge-multipower | Estocada inversa (Multipower) | quads | multipower | compound
reverse-lunge-pesarusa | Estocada inversa (Pesa rusa) | quads | pesa_rusa | compound
reverse-lunge-pesocorporal | Estocada inversa (Peso corporal) | quads | peso_corporal | compound
reverse-lunge-trx | Estocada inversa (TRX) | quads | trx | compound
alternating-reverse-lunges-pesocorporal | Estocada inversa alternada | quads | peso_corporal | compound
alternating-reverse-lunge-mancuerna | Estocada inversa alternada (Mancuerna) | quads | mancuerna | compound
alternating-reverse-lunge-pesarusa | Estocada inversa alternada (Pesa rusa) | quads | pesa_rusa | compound
reverse-lunge-twist-disco | Estocada inversa con rotación | quads | disco | compound
goblet-reverse-lunge-mancuerna | Estocada inversa goblet | quads | mancuerna | compound
side-lunge-pesocorporal | Estocada lateral | quads | peso_corporal | compound
lateral-lunge-barra | Estocada lateral (Barra) | quads | barra | compound
lateral-lunge-disco | Estocada lateral (Disco) | quads | disco | compound
lateral-lunge-pesarusa | Estocada lateral (Pesa rusa) | quads | pesa_rusa | compound
lateral-lunge-pesocorporal | Estocada lateral (Peso corporal) | quads | peso_corporal | compound
lateral-lunge-trx | Estocada lateral (TRX) | quads | trx | compound
alternating-lateral-lunge-mancuerna | Estocada lateral alternada (Mancuerna) | quads | mancuerna | compound
alternating-lateral-lunge-pesarusa | Estocada lateral alternada (Pesa rusa) | quads | pesa_rusa | compound
alternating-lateral-lunge-pesocorporal | Estocada lateral alternada (Peso corporal) | quads | peso_corporal | compound
lateral-lunge-reach-mancuerna | Estocada lateral con alcance | quads | mancuerna | compound
landmine-lateral-lunge-barra | Estocada lateral con landmine | quads | barra | compound
lateral-lunge-jump-pesocorporal | Estocada lateral con salto | quads | peso_corporal | compound
goblet-lateral-lunge-mancuerna | Estocada lateral goblet | quads | mancuerna | compound
lateral-lunge-single-pesarusa | Estocada lateral unilateral | quads | pesa_rusa | compound
forward-lunges-pesocorporal | Estocadas al frente | quads | peso_corporal | compound
leg-extension-banda | Extensión de piernas (Banda) | quads | banda | isolation
leg-extension-mancuerna | Extensión de piernas (Mancuerna) | quads | mancuerna | isolation
leg-extension-maquina | Extensión de piernas (Máquina) | quads | maquina | isolation
standing-leg-extension-polea | Extensión de piernas de pie | quads | cable | isolation
seated-leg-extension-polea | Extensión de piernas sentado | quads | cable | isolation
leg-press-banda | Prensa de piernas (Banda) | quads | banda | compound
leg-press-maquina | Prensa de piernas (Máquina) | quads | maquina | compound
leg-press-multipower | Prensa de piernas (Multipower) | quads | multipower | compound
horizontal-leg-press-maquina | Prensa de piernas horizontal | quads | maquina | compound
vertical-leg-press-maquina | Prensa de piernas vertical | quads | maquina | compound
squat-hold-row-banda | Remo en sentadilla isométrica | quads | banda | compound
squat-banda | Sentadilla (Banda) | quads | banda | compound
squat-barra | Sentadilla (Barra) | quads | barra | compound
squat-disco | Sentadilla (Disco) | quads | disco | compound
squat-multipower | Sentadilla (Multipower) | quads | multipower | compound
squat-pesocorporal | Sentadilla (Peso corporal) | quads | peso_corporal | compound
squat-trx | Sentadilla (TRX) | quads | trx | compound
single-leg-squat-pesocorporal | Sentadilla a una pierna | quads | peso_corporal | compound
box-squat-mancuerna | Sentadilla al cajón (Mancuerna) | quads | mancuerna | compound
box-squat-pesarusa | Sentadilla al cajón (Pesa rusa) | quads | pesa_rusa | compound
box-squat-pesocorporal | Sentadilla al cajón (Peso corporal) | quads | peso_corporal | compound
pause-box-squat-barra | Sentadilla al cajón con pausa | quads | barra | compound
offset-squat-mancuerna | Sentadilla asimétrica | quads | mancuerna | compound
bulgarian-split-squat-barra | Sentadilla búlgara (Barra) | quads | barra | compound
bulgarian-split-squat-pesocorporal | Sentadilla búlgara (Peso corporal) | quads | peso_corporal | compound
banded-split-squat-barra | Sentadilla búlgara con banda | quads | barra | compound
belt-split-squat-polea | Sentadilla búlgara con cinturón | quads | cable | compound
goblet-split-squat-mancuerna | Sentadilla búlgara goblet | quads | mancuerna | compound
squat-reach-disco | Sentadilla con alcance | quads | disco | compound
high-bar-squat-barra | Sentadilla con barra alta | quads | barra | compound
low-bar-squat-barra | Sentadilla con barra baja | quads | barra | compound
belt-squat-polea | Sentadilla con cinturón (Cable) | quads | cable | compound
belt-squat-maquina | Sentadilla con cinturón (Máquina) | quads | maquina | compound
somersault-squat-mancuerna | Sentadilla con giro de muñeca (Mancuerna) | quads | mancuerna | compound
somersault-squat-pesarusa | Sentadilla con giro de muñeca (Pesa rusa) | quads | pesa_rusa | compound
landmine-squat-barra | Sentadilla con landmine | quads | barra | compound
mini-band-squat-banda | Sentadilla con miniband | quads | banda | compound
pole-overhead-squat-pesocorporal | Sentadilla con palo sobre la cabeza | quads | peso_corporal | compound
overhead-squat-disco | Sentadilla con peso sobre la cabeza (Disco) | quads | disco | compound
overhead-squat-mancuerna | Sentadilla con peso sobre la cabeza (Mancuerna) | quads | mancuerna | compound
narrow-stance-squat-multipower | Sentadilla con pies juntos | quads | multipower | compound
squat-press-maquina | Sentadilla con press | quads | maquina | compound
pulse-squat-pesocorporal | Sentadilla con pulso | quads | peso_corporal | compound
jump-squat-trx | Sentadilla con salto | quads | trx | compound
heels-up-squat-pesocorporal | Sentadilla con talones elevados | quads | peso_corporal | compound
tap-box-squat-barra | Sentadilla con toque al cajón | quads | barra | compound
recovery-farmers-squat-pesarusa | Sentadilla de recuperación tipo farmer | quads | pesa_rusa | compound
split-squat-polea | Sentadilla dividida (Cable) | quads | cable | compound
split-squat-mancuerna | Sentadilla dividida (Mancuerna) | quads | mancuerna | compound
split-squat-multipower | Sentadilla dividida (Multipower) | quads | multipower | compound
split-squat-trx | Sentadilla dividida (TRX) | quads | trx | compound
spanish-squat-banda | Sentadilla española | quads | banda | compound
banded-front-squat-barra | Sentadilla frontal con banda | quads | barra | compound
front-rack-squat-mancuerna | Sentadilla frontal en rack (Mancuerna) | quads | mancuerna | compound
front-rack-squat-pesarusa | Sentadilla frontal en rack (Pesa rusa) | quads | pesa_rusa | compound
front-squat-olympic-barra | Sentadilla frontal olímpica | quads | barra | compound
goblet-squat-banda | Sentadilla goblet (Banda) | quads | banda | compound
goblet-squat-polea | Sentadilla goblet (Cable) | quads | cable | compound
goblet-squat-mancuerna | Sentadilla goblet (Mancuerna) | quads | mancuerna | compound
goblet-squat-pesarusa | Sentadilla goblet (Pesa rusa) | quads | pesa_rusa | compound
goblet-pulse-squat-mancuerna | Sentadilla goblet con pulso | quads | mancuerna | compound
hack-squat-maquina | Sentadilla hack | quads | maquina | compound
landmine-hack-squat-barra | Sentadilla hack con landmine | quads | barra | compound
horizontal-hack-squat-maquina | Sentadilla hack horizontal | quads | maquina | compound
squat-hold-disco | Sentadilla isométrica | quads | disco | compound
wall-sit-pesocorporal | Sentadilla isométrica en pared | quads | peso_corporal | compound
weighted-wall-sit-disco | Sentadilla isométrica en pared con peso | quads | disco | compound
kickstand-squat-barra | Sentadilla kickstand (Barra) | quads | barra | compound
kickstand-squat-mancuerna | Sentadilla kickstand (Mancuerna) | quads | mancuerna | compound
kickstand-squat-pesarusa | Sentadilla kickstand (Pesa rusa) | quads | pesa_rusa | compound
kickstand-squat-pesocorporal | Sentadilla kickstand (Peso corporal) | quads | peso_corporal | compound
pendulum-squat-maquina | Sentadilla péndulo | quads | maquina | compound
sissy-squat-maquina | Sentadilla sissy (Máquina) | quads | maquina | compound
sissy-squat-multipower | Sentadilla sissy (Multipower) | quads | multipower | compound
assisted-sissy-squat-pesocorporal | Sentadilla sissy asistida | quads | peso_corporal | compound
landmine-sissy-squat-barra | Sentadilla sissy con landmine | quads | barra | compound
goblet-sissy-squat-maquina | Sentadilla sissy goblet | quads | maquina | compound
sumo-squat-mancuerna | Sentadilla sumo | quads | mancuerna | compound
banded-back-squat-barra | Sentadilla trasera con banda | quads | barra | compound
zercher-squat-barra | Sentadilla Zercher (Barra) | quads | barra | compound
zercher-squat-polea | Sentadilla Zercher (Cable) | quads | cable | compound
jump-squats-pesocorporal | Sentadillas con salto | quads | peso_corporal | compound
step-up-barra | Subida al cajón (Barra) | quads | barra | compound
step-up-mancuerna | Subida al cajón (Mancuerna) | quads | mancuerna | compound
step-up-pesarusa | Subida al cajón (Pesa rusa) | quads | pesa_rusa | compound
goblet-step-up-mancuerna | Subida al cajón goblet | quads | mancuerna | compound
reverse-step-up-pesocorporal | Subida al cajón inversa | quads | peso_corporal | compound
side-step-up-barra | Subida al cajón lateral (Barra) | quads | barra | compound
side-step-up-mancuerna | Subida al cajón lateral (Mancuerna) | quads | mancuerna | compound
step-up-double-pesarusa | Subida doble al cajón | quads | pesa_rusa | compound
squat-thruster-disco | Thruster con sentadilla | quads | disco | compound
rear-delt-fly-banda | Apertura de deltoides posterior (Banda) | shoulders | banda | isolation
rear-delt-fly-polea | Apertura de deltoides posterior (Cable) | shoulders | cable | isolation
rear-delt-fly-disco | Apertura de deltoides posterior (Disco) | shoulders | disco | isolation
rear-delt-fly-mancuerna | Apertura de deltoides posterior (Mancuerna) | shoulders | mancuerna | isolation
rear-deltfly-trx | Apertura de deltoides posterior en TRX | shoulders | trx | isolation
bench-fly-banda | Apertura en banco | shoulders | banda | compound
floor-fly-mancuerna | Apertura en el suelo (Mancuerna) | shoulders | mancuerna | isolation
floor-fly-pesarusa | Apertura en el suelo (Pesa rusa) | shoulders | pesa_rusa | isolation
reverse-fly-maquina | Apertura inversa | shoulders | maquina | isolation
laying-reverse-fly-mancuerna | Apertura inversa acostado | shoulders | mancuerna | isolation
high-reverse-fly-polea | Apertura inversa alta en polea | shoulders | cable | isolation
i-raise-trx | Elevación en I | shoulders | trx | isolation
w-raise-trx | Elevación en W | shoulders | trx | isolation
y-raise-trx | Elevación en Y | shoulders | trx | isolation
front-raise-banda | Elevación frontal (Banda) | shoulders | banda | isolation
front-raise-barra | Elevación frontal (Barra) | shoulders | barra | isolation
front-raise-disco | Elevación frontal (Disco) | shoulders | disco | isolation
front-raise-mancuerna | Elevación frontal (Mancuerna) | shoulders | mancuerna | isolation
front-raise-pesarusa | Elevación frontal (Pesa rusa) | shoulders | pesa_rusa | isolation
bar-front-raise-polea | Elevación frontal con barra | shoulders | cable | isolation
rope-front-raise-polea | Elevación frontal con cuerda | shoulders | cable | isolation
incline-front-raise-mancuerna | Elevación frontal en banco inclinado | shoulders | mancuerna | isolation
lateral-raise-banda | Elevación lateral (Banda) | shoulders | banda | isolation
lateral-raise-polea | Elevación lateral (Cable) | shoulders | cable | isolation
laying-lateral-raise-mancuerna | Elevación lateral acostado | shoulders | mancuerna | isolation
low-lateral-raise-banda | Elevación lateral baja | shoulders | banda | isolation
full-lateral-raise-disco | Elevación lateral completa (Disco) | shoulders | disco | isolation
full-lateral-raise-mancuerna | Elevación lateral completa (Mancuerna) | shoulders | mancuerna | isolation
landmine-lateral-raise-barra | Elevación lateral con landmine | shoulders | barra | isolation
standing-lateral-raise-maquina | Elevación lateral de pie | shoulders | maquina | isolation
mid-lateral-raise-banda | Elevación lateral media | shoulders | banda | isolation
seated-lateral-raise-mancuerna | Elevación lateral sentado | shoulders | mancuerna | isolation
pike-shrug-pesocorporal | Encogimiento de hombros en posición pike | shoulders | peso_corporal | isolation
halo-disco | Halo | shoulders | disco | compound
medicine-ball-halo-balon | Halo con balón medicinal | shoulders | otro | compound
face-pull-banda | Jalón al rostro | shoulders | banda | compound
bar-face-pull-polea | Jalón al rostro con barra | shoulders | cable | compound
face-pulls-polea | Jalón al rostro en polea | shoulders | cable | compound
arnold-press-mancuerna | Press Arnold | shoulders | mancuerna | compound
alternating-arnold-press-mancuerna | Press Arnold alternado | shoulders | mancuerna | compound
seated-arnold-press-mancuerna | Press Arnold sentado | shoulders | mancuerna | compound
pike-press-pesocorporal | Press en posición pike | shoulders | peso_corporal | compound
elevated-pike-press-pesocorporal | Press en posición pike elevado | shoulders | peso_corporal | compound
overhead-press-banda | Press militar (Banda) | shoulders | banda | compound
overhead-press-barra | Press militar (Barra) | shoulders | barra | compound
overhead-press-polea | Press militar (Cable) | shoulders | cable | compound
overhead-press-mancuerna | Press militar (Mancuerna) | shoulders | mancuerna | compound
alternating-overhead-press-mancuerna | Press militar alternado | shoulders | mancuerna | compound
overhand-overhead-press-maquina | Press militar con agarre prono | shoulders | maquina | compound
landmine-overhead-press-barra | Press militar con landmine | shoulders | barra | compound
front-military-press-maquina | Press militar frontal | shoulders | maquina | compound
neutral-overhead-press-mancuerna | Press militar neutro (Mancuerna) | shoulders | mancuerna | compound
neutral-overhead-press-maquina | Press militar neutro (Máquina) | shoulders | maquina | compound
seated-overhead-press-mancuerna | Press por encima de la cabeza sentado (Mancuerna) | shoulders | mancuerna | compound
seated-overhead-press-multipower | Press por encima de la cabeza sentado (Multipower) | shoulders | multipower | compound
seated-overhead-press-pesarusa | Press por encima de la cabeza sentado (Pesa rusa) | shoulders | pesa_rusa | compound
upright-row-banda | Remo al mentón (Banda) | shoulders | banda | compound
upright-row-barra | Remo al mentón (Barra) | shoulders | barra | compound
upright-row-polea | Remo al mentón (Cable) | shoulders | cable | compound
upright-row-mancuerna | Remo al mentón (Mancuerna) | shoulders | mancuerna | compound
upright-row-multipower | Remo al mentón (Multipower) | shoulders | multipower | compound
upright-row-pesarusa | Remo al mentón (Pesa rusa) | shoulders | pesa_rusa | compound
upright-row-single-pesarusa | Remo al mentón a un brazo | shoulders | pesa_rusa | compound
rope-upright-row-polea | Remo al mentón con cuerda | shoulders | cable | compound
rear-delt-row-mancuerna | Remo de deltoides posterior (Mancuerna) | shoulders | mancuerna | compound
rear-delt-row-pesarusa | Remo de deltoides posterior (Pesa rusa) | shoulders | pesa_rusa | compound
rear-delt-row-trx | Remo de deltoides posterior (TRX) | shoulders | trx | compound
rear-deltoid-row-maquina | Remo de deltoides posterior en máquina | shoulders | maquina | compound
back-extension-maquina | Extensión de espalda | triceps | maquina | isolation
shoulder-extension-barra | Extensión de hombro para tríceps (Barra) | triceps | barra | isolation
shoulder-extension-mancuerna | Extensión de hombro para tríceps (Mancuerna) | triceps | mancuerna | isolation
shoulder-extension-pesarusa | Extensión de hombro para tríceps (Pesa rusa) | triceps | pesa_rusa | isolation
wrist-extension-barra | Extensión de muñeca (Barra) | triceps | barra | isolation
wrist-extension-mancuerna | Extensión de muñeca (Mancuerna) | triceps | mancuerna | isolation
wrist-extension-pesarusa | Extensión de muñeca (Pesa rusa) | triceps | pesa_rusa | isolation
bench-wrist-extension-mancuerna | Extensión de muñeca en banco (Mancuerna) | triceps | mancuerna | compound
